Name,Agency product number,Active substance,International non-proprietary name (INN) or common name,Therapeutic area (MeSH),Anatomical therapeutic chemical (ATC) code,Generic,Marketing-authorisation holder,Revision,Date of issue of marketing authorisation valid throughout the European Union,Contact address,Additional monitoring,Orphan,Conditional approval,Biosimilar,Marketing-autorisation applicant,Date of opinion,Exceptional circumstances,Date of refusal of marketing authorisation,Countries
Topotecan Hospira,EMEA/H/C/001192,topotecan,topotecan,"Uterine Cervical Neoplasms
Small Cell Lung Carcinoma",L01XX17,,Pfizer Europe MA EEIG,11,09/06/2010,"Boulevard de la Plaine 17
1050 Bruxelles
Belgium",,,,,,,,,Belgium
Kovaltry,EMEA/H/C/003825,octocog alfa,octocog alfa,Hemophilia A,B02BD02,,Bayer Pharma AG,5,17/02/2016,"Muellerstrasse 178
13353 Berlin
Germany","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Germany
Perjeta,EMEA/H/C/002547,pertuzumab,pertuzumab,Breast Neoplasms,L01XC13,,Roche Registration GmbH ,16,03/03/2013,"Roche Registration GmbH
Emil-Barell-Strasse 1
79639 Grenzach-Wyhlen
Germany",,,,,,,,,Germany
NeuroBloc,EMEA/H/C/000301,botulinum toxin type B,botulinum toxin type B,Torticollis,M03AX01,,Sloan Pharma S.a.r.l,30,21/01/2001,"33 Rue du Puits Romain
8070 Bertrange
Luxembourg",,,,,,,,,Luxembourg
Cinqaero,EMEA/H/C/003912,Reslizumab,reslizumab,Asthma,R03DX08,,Teva B.V.,4,15/08/2016,"Swensweg 5
2031GA Haarlem
The Netherlands","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,The Netherlands
Deferiprone Lipomed,EMEA/H/C/004710,Deferiprone,deferiprone,"Iron Overload
beta-Thalassemia",V03AC02,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Lipomed GmbH,0,19/09/2018,"Hegenheimer Strasse 2
79576 Weil am Rhein
Germany",,,,,,,,,Germany
Renvela,EMEA/H/C/000993,sevelamer carbonate,sevelamer carbonate,"Hyperphosphatemia
Renal Dialysis",V03AE02,,Genzyme Europe B.V.,16,09/06/2009,"Gooimer 10
NL-1411 DD Naarden
The Netherlands",,,,,,,,,The Netherlands
Neulasta,EMEA/H/C/000420,pegfilgrastim,pegfilgrastim,"Neutropenia
Cancer",L03AA13,,Amgen Europe B.V.,32,21/08/2002,"Minervum 7061
NL-4817 ZK Breda
The Netherlands",,,,,,,,,The Netherlands
Binocrit,EMEA/H/C/000725,epoetin alfa,epoetin alfa,"Anemia
Kidney Failure, Chronic",B03XA01,,Sandoz GmbH,18,27/08/2007,"Biochemiestrasse 10
AT-6250 Kundl
Austria",,,,"This is a biosimilar medicine, which is a biological medicine highly similar to another already approved biological medicine called the ‘reference medicine’. For more information, see Biosimilar medicines.",,,,,Austria
Abseamed,EMEA/H/C/000727,epoetin alfa,epoetin alfa,"Anemia
Kidney Failure, Chronic
Cancer",B03XA01,,Medice Arzneimittel Pütter GmbH Co. KG,19,27/08/2007,"Kuhloweg 37-39
D-58638 Iserlohn
Germany",,,,"This is a biosimilar medicine, which is a biological medicine highly similar to another already approved biological medicine called the ‘reference medicine’. For more information, see Biosimilar medicines.",,,,,Germany
Invokana,EMEA/H/C/002649,canagliflozin,canagliflozin,"Diabetes Mellitus, Type 2",A10BK02,,Janssen-Cilag International N.V.,12,14/11/2013,"Turnhoutseweg 30
B-2340 Beerse
Belgium",,,,,,,,,Belgium
Darzalex,EMEA/H/C/004077,Daratumumab,daratumumab,Multiple Myeloma,L01XC24,,Janssen-Cilag International N.V.,6,19/05/2016,"Turnhoutseweg 30
2340 Beerse
Belgium","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Belgium
Epoetin Alfa Hexal,EMEA/H/C/000726,epoetin alfa,epoetin alfa,"Anemia
Kidney Failure, Chronic
Cancer",B03XA01,,Hexal AG,19,27/08/2007,"Industriestrasse 25
D-83607 Holzkirchen
Germany",,,,"This is a biosimilar medicine, which is a biological medicine highly similar to another already approved biological medicine called the ‘reference medicine’. For more information, see Biosimilar medicines.",,,,,Germany
Yervoy,EMEA/H/C/002213,Ipilimumab,ipilimumab,Melanoma,L01XC11,,Bristol-Myers Squibb Pharma EEIG,24,12/07/2011,"Uxbridge Business Park
Sanderson Road
Uxbridge UB8 1DH
United Kingdom",,,,,,,,,United Kingdom
Roteas,EMEA/H/C/004339,edoxaban tosylate,edoxaban,"Stroke
Venous Thromboembolism",B01AF03,,Daiichi Sankyo Europe GmbH,2,19/04/2017,"Zielstattstrasse 48
81379 Munich
Germany","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Germany
Arixtra,EMEA/H/C/000403,fondaparinux sodium,fondaparinux sodium,"Venous Thrombosis
Pulmonary Embolism
Myocardial Infarction
Angina, Unstable",B01AX05,,Aspen Pharma Trading Limited,28,20/03/2002,"3016 Lake Drive
City West Business Campus
Dublin
Dublin 24
Ireland",,,,,,,,,Ireland
Prialt,EMEA/H/C/000551,ziconotide,ziconotide,"Injections, Spinal
Pain",N02BG08,,RIEMSER Pharma GmbH,21,20/02/2005,"An derWiek 7
17493 Greifswald-Insel Riems
Germany",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Germany
Hulio,EMEA/H/C/004429,adalimumab,adalimumab,"Hidradenitis Suppurativa
Psoriasis
Crohn Disease
Uveitis
Arthritis, Rheumatoid
Colitis, Ulcerative
Spondylitis, Ankylosing
Arthritis, Psoriatic",L04AB04,,Mylan S.A.S.,0,16/09/2018,"117 Allee des Parcs
69800 Saint-Priest
France","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,France
Viekirax,EMEA/H/C/003839,"Ombitasvir
paritaprevir
ritonavir",ombitasvir / paritaprevir / ritonavir,"Hepatitis C, Chronic",J05AP53,,AbbVie Deutschland GmbH Co. KG,15,14/01/2015,"Knollstrasse
67061 Ludwigshafen
Germany","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Germany
Cimzia,EMEA/H/C/001037,Certolizumab pegol,certolizumab pegol,"Arthritis, Rheumatoid",L04AB05,,UCB Pharma SA ,22,30/09/2009,"UCB Pharma SA
Allée de la Recherche 60
B-1070 Bruxelles
Belgium",,,,,,,,,Belgium
Veyvondi,EMEA/H/C/004454,vonicog alfa,vonicog alfa,von Willebrand Diseases,B02BD10,,Baxalta Innovations GmbH,0,30/08/2018,"Industriestrasse 67
A-1221 Vienna
Austria","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Austria
Fluenz Tetra,EMEA/H/C/002617,"reassortant influenza virus (live attenuated) of the following four strains:A/California/7/2009 (H1N1)pdm09 - like strain(A/Bolivia/559/2013, MEDI 255962)A/Hong Kong/4801/2014 (H3N2) - like strain(A/New Caledonia/71/2014, MEDI 263122)B/Brisbane/60/2008 - like strain(B/Brisbane/60/2008, MEDI 228030)B/Phuket/3073/2013 - like strain(B/Phuket/3073/2013, MEDI 254977)","influenza vaccine (live attenuated, nasal)","Influenza, Human",J07BB03,,AstraZeneca AB,14,03/12/2013,"SE-151 85 Södertälje
Sweden","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Sweden
Hemlibra,EMEA/H/C/004406,Emicizumab,emicizumab,Hemophilia A,B02BX,,Roche Registration Limited,2,22/02/2018,"6 Falcon Way, Shire Park
Welwyn Garden City
AL7 1TW
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,United Kingdom
Kadcyla,EMEA/H/C/002389,trastuzumab emtansine,trastuzumab emtansine,Breast Neoplasms,L01XC14,,Roche Registration GmbH,10,14/11/2013,"Emil-Barell-Strasse 1
79639 Grenzach-Wyhlen
Germany",,,,,,,,,Germany
Fortacin,EMEA/H/C/002693,"lidocaine
prilocaine",lidocaine / prilocaine,"Sexual Dysfunction, Physiological",N01BB20,,Plethora Solutions Limited,7,14/11/2013,"Recordati Ireland Ltd.
Raheens East
Ringaskiddy, Co. Cork,
Ireland",,,,,,,,,Ireland
Kymriah,EMEA/H/C/004090,tisagenlecleucel,tisagenlecleucel,"Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
Lymphoma, Large B-Cell, Diffuse",L01,,Novartis Europharm Limited,0,22/08/2018,"Frimley Business Park
Camberley GU16 7SR
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,United Kingdom
Ninlaro,EMEA/H/C/003844,ixazomib citrate,ixazomib,Multiple Myeloma,L01XX50,,Takeda Pharma A/S,4,20/11/2016,"Dybendal Alle 10
2630 Taastrup
Denmark","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ","This medicine received a conditional marketing authorisation. This was granted in the interest of public health because the medicine addresses an unmet medical need and the benefit of immediate availability outweighs the risk from less comprehensive data than normally required. For more information, see Conditional marketing authorisation.",,,,,,Denmark
Trazimera,EMEA/H/C/004463,trastuzumab,trastuzumab,"Stomach Neoplasms
Breast Neoplasms",L01XC03,,Pfizer Europe MA EEIG,1,26/07/2018,"Boulevard de la Plaine 17
1050 Bruxelles
Belgium","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,"This is a biosimilar medicine, which is a biological medicine highly similar to another already approved biological medicine called the ‘reference medicine’. For more information, see Biosimilar medicines.",,,,,Belgium
Inductos,EMEA/H/C/000408,dibotermin alfa,dibotermin alfa,"Tibial Fractures
Fracture Fixation, Internal
Spinal Fusion",M05BC01,,Medtronic BioPharma B.V.,22,08/09/2002,"Earl Bakkenstraat 10
6422 PJ Heerlen
The Netherlands",,,,,,,,,The Netherlands
Cholib,EMEA/H/C/002559,"fenofibrate
simvastatin",fenofibrate / simvastatin,Dyslipidemias,C10BA04,,Mylan IRE Healthcare Ltd,8,25/08/2013,"Unit 35/36 Grange Parade,
Baldoyle Industrial Estate,
Dublin 13
Ireland",,,,,,,,,Ireland
Rapilysin,EMEA/H/C/000105,reteplase,reteplase,Myocardial Infarction,B01AD08,,Actavis Group PTC ehf,25,28/08/1996,"Reykjavikurvegi 76-78
220 Hafnarfjordur
Iceland",,,,,,,,,Iceland
Revinty Ellipta,EMEA/H/C/002745,"fluticasone furoate
vilanterol trifenatate",fluticasone furoate / vilanterol,Asthma,R03AK10,,Glaxo Group Ltd,15,01/05/2014,"980 Great West Road
Brentford
Middlesex TW8 9GS
United Kingdom",,,,,,,,,United Kingdom
Truvada,EMEA/H/C/000594,"emtricitabine
tenofovir disoproxil fumarate",emtricitabine / tenofovir disoproxil,HIV Infections,J05AR03,,Gilead Sciences Ireland UC,38,20/02/2005,"Carrigtohill
County Cork, T45 DP77
Ireland",,,,,,,,,Ireland
Triumeq,EMEA/H/C/002754,"abacavir sulfate
dolutegravir sodium
lamivudine",abacavir sulfate / dolutegravir sodium / lamivudine,HIV Infections,J05AR13,,ViiV Healthcare UK Limited,10,31/08/2014,"980 Great West Road
Brentford TW8 9GS
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,United Kingdom
Xelevia,EMEA/H/C/000762,sitagliptin,sitagliptin,"Diabetes Mellitus, Type 2",A10BH01,,Merck Sharp & Dohme B.V.,26,20/03/2007,"Waarderweg 39
2031 BN Haarlem
The Netherlands",,,,,,,,,The Netherlands
Hirobriz Breezhaler,EMEA/H/C/001211,indacaterol maleate,indacaterol,"Pulmonary Disease, Chronic Obstructive",R03AC18,,Novartis Europharm Limited,14,30/11/2009,"Elm Park
Merrion Road
Dublin 4
Ireland",,,,,,,,,Ireland
NeoRecormon,EMEA/H/C/000116,epoetin beta,epoetin beta,"Kidney Failure, Chronic
Anemia
Cancer
Blood Transfusion, Autologous",B03XA01,,Roche Registration GmbH,27,15/07/1997,"Emil-Barell-Strasse 1
79639 Grenzach-Wyhlen
Germany",,,,,,,,,Germany
Angiox,EMEA/H/C/000562,Bivalirudin,bivalirudin,Acute Coronary Syndrome,B01AE06,,The Medicines Company UK Ltd,22,19/09/2004,"115 L Milton Park
Abingdon
Oxfordshire
OX14 4SA
United Kingdom",,,,,,,,,United Kingdom
Alecensa,EMEA/H/C/004164,alectinib hydrochloride,alectinib,"Carcinoma, Non-Small-Cell Lung",L01XE,,Roche Registration GmbH,7,15/02/2017,"Emil-Barell-Strasse 1
79639 Grenzach-Wyhlen
Germany","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Germany
Bavencio,EMEA/H/C/004338,avelumab,avelumab,Neuroendocrine Tumors,L01XC31,,Merck Europe B.V.,3,17/09/2017,"Gustav Mahlerplein 102
1082 MA Amsterdam
The Netherlands","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ","This medicine received a conditional marketing authorisation. This was granted in the interest of public health because the medicine addresses an unmet medical need and the benefit of immediate availability outweighs the risk from less comprehensive data than normally required. For more information, see Conditional marketing authorisation.",,,,,,The Netherlands
Conbriza,EMEA/H/C/000913,bazedoxifene,bazedoxifene,"Osteoporosis, Postmenopausal",G03XC02,,Pfizer Europe MA EEIG,11,16/04/2009,"Boulevard de la Plaine 17
1050 Bruxelles
Belgium",,,,,,,,,Belgium
Lifmior,EMEA/H/C/004167,etanercept,etanercept,"Arthritis, Psoriatic
Spondylitis, Ankylosing
Psoriasis",L04AB01,,Pfizer Europe MA EEIG,5,12/02/2017,"Boulevard de la Plaine 17
1050 Bruxelles
Belgium","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Belgium
Cometriq,EMEA/H/C/002640,cabozantinib,cabozantinib,Thyroid Neoplasms,L01XE,,Ipsen Pharma,12,20/03/2014,"65, quai Georges Gorse
92100 Boulogne-Billancourt
France","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ","This medicine received a conditional marketing authorisation. This was granted in the interest of public health because the medicine addresses an unmet medical need and the benefit of immediate availability outweighs the risk from less comprehensive data than normally required. For more information, see Conditional marketing authorisation.",,,,,,France
Rapamune,EMEA/H/C/000273,Sirolimus,sirolimus,"Graft Rejection
Kidney Transplantation",L04AA10,,Pfizer Limited,37,12/03/2001,"Ramsgate Road
Sandwich
Kent
CT13 9NJ
United Kingdom",,,,,,,,,United Kingdom
Nerlynx,EMEA/H/C/004030,neratinib,neratinib,Breast Neoplasms,L01X,,Puma Biotechnology Limited,0,30/08/2018,"11th Floor
Whitefriars Lewins Mead
Bristol BS1 2NT
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,United Kingdom
Tafinlar,EMEA/H/C/002604,dabrafenib mesylate,dabrafenib,Melanoma,L01XE23,,Novartis Europharm Limited,18,25/08/2013,"Elm Park
Merrion Road
Dublin 4
Ireland",,,,,,,,,Ireland
Vectibix,EMEA/H/C/000741,panitumumab,panitumumab,Colorectal Neoplasms,L01XC08,,Amgen Europe B.V.,30,02/12/2007,"Minervum 7061
NL-4817 ZK Breda
The Netherlands",,,,,,,,,The Netherlands
Axumin,EMEA/H/C/004197,Fluciclovine (18F),fluciclovine (18F),"Prostatic Neoplasms
Radionuclide Imaging",V09IX12,,Blue Earth Diagnostics Ltd,4,21/05/2017,"215 Euston Road
London NW1 2BE
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,United Kingdom
Simbrinza,EMEA/H/C/003698,"brinzolamide
brimonidine tartrate",brinzolamide / brimonidine tartrate,"Ocular Hypertension
Glaucoma, Open-Angle",S01EC54,,Novartis Europharm Limited,5,17/07/2014,"Elm Park
Merrion Road
Dublin 4
Ireland",,,,,,,,,Ireland
Yescarta,EMEA/H/C/004480,axicabtagene ciloleucel,axicabtagene ciloleucel,"Lymphoma, Follicular
Lymphoma, Large B-Cell, Diffuse",L01X,,Kite Pharma EU B.V.,0,22/08/2018,"Science Park 408
1098 XH Amsterdam
The Netherlands",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,The Netherlands
Ontruzant,EMEA/H/C/004323,trastuzumab,trastuzumab,"Stomach Neoplasms
Breast Neoplasms",L01XC03,,Samsung Bioepis UK Limited (SBUK),1,14/11/2017,"5th Floor Profile West
950 Great West Road
Brentford TW8 9ES
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,"This is a biosimilar medicine, which is a biological medicine highly similar to another already approved biological medicine called the ‘reference medicine’. For more information, see Biosimilar medicines.",,,,,United Kingdom
Cablivi,EMEA/H/C/004426,Caplacizumab,caplacizumab,"Purpura, Thrombotic Thrombocytopenic",B01A,,Ablynx NV,0,30/08/2018,"Technologiepark 21
9052 Zwijnaarde
Belgium","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Belgium
Tagrisso,EMEA/H/C/004124,osimertinib mesylate,osimertinib,"Carcinoma, Non-Small-Cell Lung",L01XE,,AstraZeneca AB,8,01/02/2016,"SE-151 85 Södertälje
Sweden","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Sweden
Tyverb,EMEA/H/C/000795,lapatinib,lapatinib,Breast Neoplasms,L01XE07,,Novartis Europharm Limited,28,09/06/2008,"Elm Park
Merrion Road
Dublin 4
Ireland",,,,,,,,,Ireland
Tovanor Breezhaler,EMEA/H/C/002690,Glycopyrronium bromide,glycopyrronium bromide,"Pulmonary Disease, Chronic Obstructive",R03BB06,,Novartis Europharm Limited,12,27/09/2012,"Elm Park
Merrion Road
Dublin 4
Ireland",,,,,,,,,Ireland
Steglujan,EMEA/H/C/004313,"ertugliflozin l-pyroglutamic acid
sitagliptin phosphate monohydrate",ertugliflozin / sitagliptin,"Diabetes Mellitus, Type 2",A10BD24,,Merck Sharp & Dohme B.V.,3,22/03/2018,"Waarderweg 39
2031 BN Haarlem
The Netherlands","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,The Netherlands
Tarceva,EMEA/H/C/000618,erlotinib,erlotinib,"Carcinoma, Non-Small-Cell Lung
Pancreatic Neoplasms",L01XE03,,Roche Registration GmbH,28,18/09/2005,"Emil-Barell-Strasse 1
79639 Grenzach-Wyhlen
Germany",,,,,,,,,Germany
MabThera,EMEA/H/C/000165,rituximab,rituximab,"Lymphoma, Non-Hodgkin
Arthritis, Rheumatoid
Leukemia, Lymphocytic, Chronic, B-Cell",L01XC02,,Roche Registration GmbH,43,01/06/1998,"Emil-Barell-Strasse 1
79639 Grenzach-Wyhlen
Germany",,,,,,,,,Germany
Spinraza,EMEA/H/C/004312,nusinersen sodium,nusinersen,"Muscular Atrophy, Spinal",M09,,Biogen Idec Ltd,4,29/05/2017,"Innovation House
70 Norden Road
Berkshire
Maidenhead
SL6 4AY
United Kigndom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,United Kingdom
Efavirenz/Emtricitabine/Tenofovir disoproxil Mylan,EMEA/H/C/004240,"efavirenz
emtricitabine
tenofovir disoproxil maleate",efavirenz / emtricitabine / tenofovir disoproxil,HIV Infections,J05AR06,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Mylan S.A.S,2,04/09/2017,"117 Allee des Parcs
69800
Saint-Priest
France",,,,,,,,,France
Bortezomib Hospira,EMEA/H/C/004207,bortezomib,bortezomib,Multiple Myeloma,L01XX32,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Pfizer Europe MA EEIG,4,21/07/2016,"Boulevard de la Plaine 17
1050 Bruxelles
Belgium",,,,,,,,,Belgium
Mekinist,EMEA/H/C/002643,trametinib,trametinib,Melanoma,L01XE25,,Novartis Europharm Limited,14,29/06/2014,"Elm Park
Merrion Road
Dublin 4
Ireland","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Ireland
Herceptin,EMEA/H/C/000278,trastuzumab,trastuzumab,"Stomach Neoplasms
Breast Neoplasms",L01XC03,,Roche Registration GmbH,34,27/08/2000,"Emil-Barell-Strasse 1
79639 Grenzach-Wyhlen
Germany",,,,,,,,,Germany
Sprycel,EMEA/H/C/000709,dasatinib,dasatinib,"Precursor Cell Lymphoblastic Leukemia-Lymphoma
Leukemia, Myelogenous, Chronic, BCR-ABL Positive",L01XE06,,Bristol-Myers Squibb Pharma EEIG,30,19/11/2006,"Uxbridge Business Park
Sanderson Road
Uxbridge UB8 1DH
United Kingdom",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,United Kingdom
Ulipristal Acetate Gedeon Richter,EMEA/H/C/005017,ulipristal acetate,ulipristal acetate,Leiomyosarcoma,G03XB02,,Gedeon Richter Plc.,0,26/08/2018,"Gyomroi ut 19-21
1103 Budapest
Hungary",,,,,,,,,Hungary
Micardis,EMEA/H/C/000209,telmisartan,telmisartan,Hypertension,C09CA07,,Boehringer Ingelheim International GmbH,23,15/12/1998,"Bingerstr. 173
55216 Ingelheim am Rheim
Germany",,,,,,,,,Germany
Jetrea,EMEA/H/C/002381,ocriplasmin,ocriplasmin,Retinal Diseases,S01XA22,,ThromboGenics NV,10,12/03/2013,"Gaston Geenslaan 1
B-3001 Leuven
Belgium",,,,,,,,,Belgium
Zavicefta,EMEA/H/C/004027,"Ceftazidime
avibactam",ceftazidime / avibactam,"Pneumonia, Bacterial
Soft Tissue Infections
Pneumonia
Urinary Tract Infections
Gram-Negative Bacterial Infections",J01,,Pfizer Ireland Pharmaceuticals,5,23/06/2016,"Operations Support Group
Ringaskiddy, County Cork
Ireland","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Ireland
Telmisartan Teva,EMEA/H/C/001146,telmisartan,telmisartan,Hypertension,C09CA07,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Teva B.V.,10,25/01/2010,"Swensweg 5
2031GA Haarlem
The Netherlands",,,,,,,,,The Netherlands
Hepsera,EMEA/H/C/000485,adefovir dipivoxil,adefovir dipivoxil,"Hepatitis B, Chronic",J05AF08,,Gilead Sciences Ireland UC,25,05/03/2003,"Carrigtohill
County Cork, T45 DP77
Ireland",,,,,,,,,Ireland
Atosiban SUN,EMEA/H/C/002329,atosiban acetate,atosiban,Premature Birth,G02CX01,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Sun Pharmaceutical Industries Europe B.V.,5,30/07/2013,"Polarisavenue 87
2132JH Hoofddorp
The Netherlands",,,,,,,,,The Netherlands
Tasmar,EMEA/H/C/000132,tolcapone,tolcapone,Parkinson Disease,N04BX01,,Meda AB,22,26/08/1997,"Pipers väg 2A
SE-Solna 170 09
Sweden",,,,,,,,,Sweden
Mircera,EMEA/H/C/000739,Methoxy polyethylene glycol-epoetin beta,methoxy polyethylene glycol-epoetin beta,"Anemia
Kidney Failure, Chronic",B03XA03,,Roche Registration GmbH,23,19/07/2007,"Emil-Barell-Strasse 1
79639 Grenzach-Wyhlen
Germany",,,,,,,,,Germany
Flixabi,EMEA/H/C/004020,infliximab,infliximab,"Spondylitis, Ankylosing
Arthritis, Rheumatoid
Crohn Disease
Colitis, Ulcerative
Arthritis, Psoriatic
Psoriasis",L04AB02,,Samsung Bioepis UK Limited (SBUK),6,25/05/2016,"5th Floor, Profile West 950 Great West Road
Brentford Middlesex TW8 9ES
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,"This is a biosimilar medicine, which is a biological medicine highly similar to another already approved biological medicine called the ‘reference medicine’. For more information, see Biosimilar medicines.",,,,,United Kingdom
Amgevita,EMEA/H/C/004212,adalimumab,adalimumab,"Arthritis, Psoriatic
Colitis, Ulcerative
Arthritis, Juvenile Rheumatoid
Spondylitis, Ankylosing
Psoriasis
Crohn Disease
Arthritis, Rheumatoid",L04AB04,,Amgen Europe B.V.,3,21/03/2017,"Minervum 7061
NL-4817 ZK Breda
Netherlands","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,"This is a biosimilar medicine, which is a biological medicine highly similar to another already approved biological medicine called the ‘reference medicine’. For more information, see Biosimilar medicines.",,,,,The Netherlands
